,P@5,R@5,F1@5,NDCG@5,P@10,R@10,F1@10,NDCG@10,Coverage,Diversity
Logistic Regression,1.0,1.0,1.0,0.5506564327482333,1.0,1.0,1.0,0.5576225132048725,0.94797,0.05203000000000002
Random Forest,1.0,1.0,1.0,0.49038471662641525,0.8,1.0,0.8888888888888888,0.5399324443783576,0.86981,0.13019000000000003
XGBoost,1.0,1.0,1.0,0.5474394646298769,1.0,1.0,1.0,0.535792044391513,0.8112,0.18879999999999997
LightGBM,1.0,1.0,1.0,0.5185432185754039,1.0,1.0,1.0,0.49432322318530125,0.69943,0.30057
